"name","value"
"Adjudications / Decisions","adjudications_decisions"
"Audit Report","audit_report"
"Brochures","brochures"
"Budget / Finance","budget_finance"
"Bulletins","bulletins"
"Calendars","calendars"
"Data / Statistics","data_statistics"
"Directives","directives"
"Environmental Impact Statements - Draft","environmental_impact_statements_draft"
"Environmental Impact Statements - Final","environmental_impact_statements_final"
"Executive Orders","executive_orders"
"Guides","guides"
"Laws / Legislation","laws_legislation"
"Manuals / Directories","manuals_directories"
"Minutes","minutes"
"Newsletters / Other Serial Publications","newletters"
"Other","other"
"Plans","plans"
"Press Releases","press_releases"
"Proceedings","proceedings"
"Reports - Annual","reports_annual"
"Reports - Biennial","reports_biennial"
"Reports - Monthly","reports_monthly"
"Reports - Weekly","reports_weekly"
"Reports - Other (Consultant/Staff)","reports_other"
"Studies","studies"